place,address,latitude,longitude,country_geocoded,country_added,country
university college dublin,"University College Dublin, Belfield, Dublin 4, Ireland",53.3067494,-6.2210336,Ireland,,Ireland
catholic medical center,"100 McGregor St, Manchester, NH 03102, USA",42.9909674,-71.4743062,United States,,United States
johns hopkins university,"Baltimore, MD 21218, USA",39.3299013,-76.6205177,United States,,United States
telstra,"300 W Main St, Northborough, MA 01532, USA",42.3077952,-71.6599648,United States,,United States
university of minho,"R. da Universidade, 4710-057 Braga, Portugal",41.5607319,-8.3962368,Portugal,,Portugal
agriculture and agri food canada,"1341 Baseline Rd, Ottawa, ON K1A 0C5, Canada",45.364652,-75.7348819,Canada,,Canada
nuclear energy agency,,,,,France,France
university of st thomas,"2115 Summit Ave, St Paul, MN 55105, USA",44.943096,-93.1897082,United States,,United States
tianjin university,"13th St, Binhai Xinqu, Tianjin Shi, China",39.083961,117.708631,China,,China
ecole polytechnique federale de lausanne,"Route Cantonale, 1015 Lausanne, Switzerland",46.5190557,6.5667576,Switzerland,,Switzerland
university of alabama at birmingham,"1720 University Blvd, Birmingham, AL 35294, USA",33.5019893,-86.8064433,United States,,United States
aalborg university,"Fredrik Bajers Vej 7K, 9220 Aalborg Øst, Denmark",57.0141784,9.9846631,Denmark,,Denmark
world bank,"PO Box 3114, Joplin, MO 64803, USA",37.11,-94.52,United States,,United States
southern cross university,"Military Rd, East Lismore NSW 2480, Australia",-28.81799,153.297815,Australia,,Australia
indiana university of pennsylvania,"1011 South Drive, Indiana, PA 15705, USA",40.6140124,-79.1614669,United States,,United States
polytechnic university of milan,"Piazza Leonardo da Vinci, 32, 20133 Milano MI, Italy",45.4784315,9.2283424,Italy,,Italy
international institute for applied systems analysis,,,,,Austria,Austria
dalhousie university,"6299 South St, Halifax, NS B3H 4R2, Canada",44.6365812,-63.5916555,Canada,,Canada
hashemite university,"Damascus Hwy, Zarqa, Jordan",32.1028831,36.1811215,Jordan,,Jordan
university of lisbon,"Cidade Universitária, Alameda da Universidade, 1649-004 Lisboa, Portugal",38.7526578,-9.158245,Portugal,,Portugal
princess alexandra hospital,"Hamstel Rd, Harlow CM20 1QX, UK",51.7710499,0.0858092,United Kingdom,,United Kingdom
auckland council,"Auckland 1010, New Zealand",-36.8439299,174.7632161,New Zealand,,New Zealand
university of otago,"362 Leith Street, North Dunedin, Dunedin 9016, New Zealand",-45.8646835,170.5144227,New Zealand,,New Zealand
sofia university,"1069 E Meadow Cir, Palo Alto, CA 94303, USA",37.430285,-122.108785,United States,,United States
lahore school of economics,"Barki Rd, Sector P Phase 7, Lahore, Punjab 54000, Pakistan",31.5024408,74.4749098,Pakistan,,Pakistan
the new school,"72 5th Ave, New York, NY 10011, USA",40.7353461,-73.9938884,United States,,United States
leiden university,"Rapenburg 70, 2311 EZ Leiden, Netherlands",52.1571485,4.485209,Netherlands,,Netherlands
american museum of natural history,"200 Central Park West, New York, NY 10024, USA",40.7813241,-73.9739882,United States,,United States
american university,"4400 Massachusetts Ave NW, Washington, DC 20016, USA",38.9374948,-77.0888029,United States,,United States
university of massachusetts amherst,"Amherst, MA 01003, USA",42.3867598,-72.5300515,United States,,United States
austrian development agency,"150 Fayetteville St Suite 1200, Raleigh, NC 27601, USA",35.7787365,-78.6396743,United States,,United States
university of naples federico ii,"Corso Umberto I, 40, 80138 Napoli NA, Italy",40.8454073,14.2577342,Italy,,Italy
case western reserve university,"10900 Euclid Ave, Cleveland, OH 44106, USA",41.5043413,-81.6083838,United States,,United States
