university of the witwatersrand	boston children s hospital	2	Unknown
university of the witwatersrand	imperial college london	3	trans-continental
university of the witwatersrand	king s college london	3	trans-continental
university of the witwatersrand	harvard university	5	trans-continental
university of the witwatersrand	universidade federal de pelotas	2	trans-continental
university of the witwatersrand	university of north carolina at chapel hill	4	trans-continental
university of the witwatersrand	brigham and women s hospital	3	Unknown
university of the witwatersrand	umea centre for global health research	2	Unknown
university of the witwatersrand	heidelberg university	2	trans-continental
university of the witwatersrand	university of nairobi	2	international
university of the witwatersrand	university of edinburgh	2	trans-continental
university of the witwatersrand	university of western australia	2	trans-continental
university of the witwatersrand	emory university	2	trans-continental
university of the witwatersrand	university of southampton	2	trans-continental
university of the witwatersrand	stellenbosch university	3	domestic
university of the witwatersrand	university of pennsylvania	2	trans-continental
university of the witwatersrand	erasmus university rotterdam	2	trans-continental
university of the witwatersrand	university of oxford	2	trans-continental
amity university	liverpool john moores university	2	trans-continental
university of miami	south florida water management district	2	domestic
university of miami	duke university	2	domestic
united states forest service	australian national university	2	trans-continental
united states forest service	conservation international	2	trans-continental
pontifical catholic university of chile	eth zurich	2	Unknown
massachusetts institute of technology	united nations university	2	trans-continental
massachusetts institute of technology	united nations	3	trans-continental
massachusetts institute of technology	arizona state university	2	domestic
massachusetts institute of technology	virginia tech	2	domestic
massachusetts institute of technology	masdar institute of science and technology	2	Unknown
massachusetts institute of technology	kyushu university	2	trans-continental
massachusetts institute of technology	indian institute of technology bombay	2	trans-continental
massachusetts institute of technology	harvard university	2	domestic
university of helsinki	finnish environment institute	3	Unknown
united nations university	united nations	2	domestic
united nations university	world institute for development economics research	2	Unknown
united nations university	university of waterloo	2	trans-continental
united nations university	university of bonn	2	domestic
united nations university	university of minho	2	Unknown
university of lisbon	instituto superior tecnico	3	domestic
university of lisbon	universidade nova de lisboa	2	domestic
university of lisbon	university of aveiro	3	domestic
columbia university	australian national university	2	trans-continental
columbia university	university of oslo	2	trans-continental
columbia university	harvard university	7	domestic
columbia university	addis ababa university	2	trans-continental
columbia university	united nations	3	trans-continental
columbia university	university of cape town	2	trans-continental
columbia university	save the children	2	trans-continental
columbia university	centre for the aids programme of research in south africa	2	Unknown
columbia university	medical research council	2	trans-continental
columbia university	university of kwazulu natal	2	trans-continental
columbia university	university of malawi	3	trans-continental
columbia university	ifakara health institute	3	trans-continental
columbia university	united nations office on drugs and crime	2	trans-continental
columbia university	university of michigan	4	domestic
columbia university	arizona state university	2	domestic
columbia university	university of washington	5	domestic
columbia university	university of toronto	4	international
columbia university	max planck society	3	trans-continental
columbia university	federal reserve bank of new york	2	domestic
columbia university	partners in health	3	trans-continental
columbia university	brac university	2	trans-continental
columbia university	boston university	2	domestic
columbia university	university of zambia	2	trans-continental
columbia university	yale university	4	domestic
columbia university	goddard institute for space studies	2	Unknown
columbia university	university college london	4	trans-continental
columbia university	university of cambridge	2	trans-continental
columbia university	aga khan university	3	trans-continental
columbia university	international food policy research institute	4	trans-continental
columbia university	university of ghana	2	trans-continental
columbia university	federal university of rio de janeiro	2	Unknown
columbia university	imperial college london	2	trans-continental
columbia university	university of the western cape	3	trans-continental
columbia university	research triangle park	2	domestic
columbia university	university of manchester	2	trans-continental
columbia university	world health organization	4	trans-continental
columbia university	king s college london	3	trans-continental
