institution,betweenness,closeness,degree,eigenvector
drexel university,0.0020992472573642005,0.22825572483426218,0.003627569528415961,0.004889394313374827
international monetary fund,0.0,0.24142772444708369,0.0012091898428053204,0.00452263416530131
aga khan university,0.008637298844899555,0.3234905991294084,0.037484885126964934,0.12063348472356566
german development institute,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
imperial college london,0.03200986749962117,0.3515884853482064,0.058041112454655375,0.1398591859075427
medical research council,0.0030962078466302764,0.311683192261185,0.02418379685610641,0.08765483195489827
karolinska institutet,0.0045906249711664855,0.31028690120575914,0.022974607013301087,0.06813379397563335
university of california san diego,0.0020992472573642005,0.2511548688647744,0.003627569528415961,0.009408330605064586
university of glasgow,0.001561902013611054,0.2749741440328055,0.008464328899637243,0.018517739729906103
university of st andrews,1.3468707825672932e-05,0.22676114387863586,0.0024183796856106408,0.002288192050511553
university of dundee,3.603471314003563e-06,0.24096110727575185,0.0024183796856106408,0.004878514751009793
university college london,0.030755908900866654,0.34786070564864396,0.058041112454655375,0.14977942724349086
idaho national laboratory,0.0,0.19695620364055924,0.0012091898428053204,0.0002581512463894782
university of rostock,0.0,0.20471802447368473,0.0012091898428053204,0.00038300501705154096
university of the western cape,0.012231921523528783,0.3113718204407443,0.022974607013301087,0.07293365942775033
university of coimbra,0.0016116744103287265,0.19871418059367868,0.0048367593712212815,0.0003020478431862334
universidade aberta,0.0016116744103287265,0.19871418059367868,0.0048367593712212815,0.0003020478431862334
laval university,0.0,0.21362795905495888,0.0012091898428053204,0.00047782636498733077
zhejiang university,2.666847620957117e-05,0.23294707941792603,0.0024183796856106408,0.0022434079902759465
open university,0.0,0.22544896366089331,0.0012091898428053204,0.0021598823869805424
university of nottingham,0.0031608349498882986,0.27079339032248917,0.010882708585247883,0.012615671381795144
university of reading,0.006377410528163156,0.3095165762275919,0.018137847642079805,0.04737063829458226
king s college london,0.010075378012156192,0.3351432174851452,0.03385731559854897,0.11758486341904816
zoological society of london,0.0,0.2499464252294988,0.0048367593712212815,0.006045982183834481
instituto superior tecnico,0.00020383043108269347,0.20505473175077962,0.003627569528415961,0.00037010219609399974
tilburg university,0.0,0.24124086088327013,0.0024183796856106408,0.00411418521398296
united states agency for international development,0.00012489567006835475,0.28634193133779057,0.007255139056831922,0.039586002898439686
national institutes of health,0.007788018680521958,0.30512304675593244,0.020556227327690448,0.07329662971266682
eni,0.0,0.24012572593311635,0.0024183796856106408,0.002984030489170412
university of surrey,0.0003077503542768581,0.2795364953015112,0.0048367593712212815,0.016097365087896973
kathmandu,8.355462340222922e-05,0.28244965315920706,0.007255139056831922,0.031111239676664612
federal fluminense university,4.349904657618586e-06,0.23382084940824083,0.003627569528415961,0.0031257829385107653
council of scientific and industrial research,0.0,0.24397901546863796,0.0012091898428053204,0.005745317173180525
shahid beheshti university of medical sciences and health services,0.0,0.002902055622732769,0.0012091898428053204,2.1251357530469836e-15
tehran university of medical sciences,2.6350383983651052e-05,0.004353083434099153,0.003627569528415961,4.364100587546076e-15
hobart corporation,1.826228001089149e-05,0.26402642292349426,0.006045949214026602,0.010547707053965995
jimma university,0.0,0.17923127789602358,0.0012091898428053204,9.849897441435239e-05
universidad michoacana de san nicolas de hidalgo,0.0,0.21095309120892386,0.0012091898428053204,0.0007377315122987114
national autonomous university of mexico,0.002546390033041168,0.2785372584997185,0.009673518742442563,0.01956535881753494
tulane university,0.0,0.27570384100945156,0.0024183796856106408,0.019168722201200642
great lakes university,0.0020992472573642005,0.2216807910819239,0.0024183796856106408,0.002020637685361607
university of nairobi,0.011280266307579218,0.2972658009167239,0.019347037484885126,0.0535217843169163
ziauddin university,0.0,0.17887127245979054,0.0012091898428053204,9.791405935568567e-05
pakistan institute of medical sciences,0.0020992472573642005,0.22520461868582733,0.0024183796856106408,0.0025972751826282663
cardiff university,0.0,0.2216807910819239,0.0048367593712212815,0.0016830671148789955
university of malawi,0.004624340450981132,0.2954343054608389,0.010882708585247883,0.04217640534427321
university of namibia,4.391730663941842e-06,0.2251232880181907,0.0024183796856106408,0.0026060612704308463
university of lagos,0.0,0.24845212615479076,0.0012091898428053204,0.00564689154080186
all india institute of medical sciences,1.1394706441340763e-06,0.23838102658599236,0.0024183796856106408,0.006827163118658236
north carolina state university,0.0,0.2464873011160024,0.0024183796856106408,0.007498150700631039
university of north carolina at chapel hill,0.0059672804961729215,0.3090562144384581,0.03022974607013301,0.08735164613370407
centers for disease control and prevention,0.0006810297584078383,0.2962767987273622,0.016928657799274487,0.06034685665219802
university of exeter,0.004026485888554469,0.2927977381504791,0.014510278113663844,0.03179752557070538
university of limpopo,0.0,0.24924685506692124,0.0012091898428053204,0.005251549773659862
save the children,0.004361792223206031,0.320496855795563,0.037484885126964934,0.11947059311116061
university of lethbridge,0.0016738406901306937,0.24293311945532736,0.0048367593712212815,0.004108362867445489
university of papua new guinea,0.0,0.2473676129057024,0.0012091898428053204,0.005023923529256553
royal children s hospital,0.0014292053325546822,0.2918381950011095,0.009673518742442563,0.03906614101680815
university of brighton,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
university of south australia,0.00014620029992541995,0.20252319185262183,0.003627569528415961,0.0004098180385410298
humboldt university of berlin,0.000371768860163501,0.23892923898902646,0.0048367593712212815,0.0036757015113597627
leibniz association,7.326630494523066e-05,0.21138229383600204,0.003627569528415961,0.0009277714252526435
university of zambia,1.5893098056890022e-05,0.2927977381504791,0.006045949214026602,0.03495005887721208
george washington university,9.157882988709784e-05,0.2715010385550392,0.003627569528415961,0.0149225394721412
st george s hospital,0.0,0.24189615231756698,0.0012091898428053204,0.004433200254380848
university of wollongong,1.4529023115603904e-05,0.2618086453264889,0.003627569528415961,0.01211088024898917
nyenrode business university,0.0,0.22842300642080252,0.0012091898428053204,0.001611742832296374
economic policy institute,0.0,0.2621389337772792,0.0024183796856106408,0.013546318799036908
ben gurion university of the negev,0.0,0.001612253123740427,0.0012091898428053204,1.0603919050306407e-16
university of haifa,2.9278204426278945e-06,0.0024183796856106408,0.0024183796856106408,1.499620613515118e-16
vancouver island university,0.0,0.21362795905495888,0.0012091898428053204,0.00047782636498733077
ifakara health institute,0.002135358333509209,0.2918381950011095,0.007255139056831922,0.03138609600095574
